ScriptId, Name,             Directory
368,      colo_oceandeep,   colors
1143,     colo_inkpot,      colors
1243,     colo_desert256,   colors
1677,     colo_twilight,    colors
1778,     colo_wombat,      colors
1891,     colo_vividchalk,  colors
2140,     colo_xoria256,    colors
2340,     colo_molokai,     colors
2555,     colo_jellybeans,  colors
2589,     colo_vylight,     colors
2815,     colo_hornet,      colors
3065,     colo_mayansmoke,  colors
13,       closetag,         scripts
294,      Align,
415,      zenburn,
1218,     NERD_commenter,
1491,     javascript,       syntax
1571,     php,
1643,     SuperTab,
1697,     surround,
1849,     autoclose,        plugin
2075,     html,             indent
2305,     textile,
2332,     pathogen,         autoload
2975,     fugitive,
3066,     repeater,
3132,     underwater-mod,   colors
